cpi_id,date,title,content,deception,subject,person,url,updated_link,source,speaker
1,2001-09-11,Al Qaeda Terrorists Attack United States,"Nineteen terrorists affiliated with Al Qaeda hijack four commercial passenger jet airliners. Each team of hijackers includes a trained pilot. The hijackers intentionally crash two of the airliners into the World Trade Center in New York City, one plane into each tower, resulting in the collapse of both buildings soon afterward and irreparable damage to nearby buildings. The hijackers crash a third into the Pentagon, just across the Potomac River from Washington, D.C. Passengers and members of the flight crew on the fourth aircraft attempt to retake control of their plane from the hijackers; the plane crashes into a field near the town of Shanksville in rural Somerset County, Pennsylvania.   <UL class=custom_list>  <LI>8:46 a.m. American Airlines Flight 11 crashes into the northern side of the North Tower of the World Trade Center. All 92 passengers and crew are killed.   <LI>9:03 a.m. United Airlines Flight 175 crashes into the South Tower of the World Trade center. All 65 passengers and crew are killed.   <LI>9:37 a.m. American Airlines Flight 77 crashes into the Pentagon. All 64 passengers and crew are killed.   <LI>10:03 a.m. United Airlines Flight 93 crashes in a field in southwest Pennsylvania, about 150 miles northwest of Washington D.C. All 44 passengers and crew are killed. </LI></UL>At approximately 9:59 a.m. the South Tower of the World Trade Center collapses as a result of structural failure. At approximately 10:28 a.m. the North Tower of the World Trade Center collapses as well. In addition to the 19 hijackers, 2,974 people die as an immediate result of the attacks. Another 24 people are missing and presumed dead. The victims are predominantly civilians.",False,Al Qaeda,,http://www.9-11commission.gov/report/index.htm,,"SOURCE: Adapted from&nbsp;<EM>The 9/11 Commission Report: Final Report of the National Commission on Terrorist Attacks Upon the United States</EM>&nbsp;(Washington, D.C.: U.S. Government Printing Office, 2004), pages 4–10.",
2,2001-09-11,President Bush Addresses the Nation,Editor's note: President Bush speaks to the nation; there is no mention of Iraq at this time.,False,Iraq,George W. Bush,http://georgewbush-whitehouse.archives.gov/news/releases/2001/09/20010911-16.html,,"SOURCE: Office of the White House Press Secretary, statement by the president, September 11, 2001.",
3,2001-09-11,"Christopher Meyer, <EM>DC Confidential</EM>:<EM> </EM>British Ambassador Christopher Meyer Transmits Condolences to National Security Adviser Condoleezza Rice",After my council of war on the morning of 9/11 I called Condi [Condoleezza] Rice. I offered condolences to the thousands of Americans who must have died. We feared that British casualties could run into the hundreds. We were ready to help in any way we could with the search for victims at the World Trade Center (which was rapidly rechristened Ground Zero). Who did she think had been responsible? The names Al Qaeda and Osama bin Laden were already in circulation. She said that the early evidence suggested that it was them. But there could also be a connection with Iraq. That would need investigating.,False,"Iraq, Al Qaeda","Condoleezza Rice, Osama bin Laden",,,"SOURCE: Christopher Meyer, <EM>DC Confidential: The Controversial Memoirs of Britain's Ambassador to the U.S. at the Time of 9/11 and the Run-Up to the Iraq War </EM>(Phoenix/Orion, 2006), page 190.",
4,2001-09-11,Defense Secretary Donald Rumsfeld Tells General Richard Myers To Consider Hitting Saddam Hussein,"On the afternoon of September 11, according to contemporaneous notes, Secretary [Donald] Rumsfeld instructed General [Richard] Myers to obtain quickly as much information as possible. The notes indicate that he also told Myers that he was not simply interested in striking empty training sites. He thought the U.S. response should consider a wide range of options and possibilities. The secretary said his instinct was to hit Saddam Hussein at the same time—not only bin Laden. Secretary Rumsfeld later explained that at the time, he had been considering either one of them, or perhaps someone else, as the responsible party.",False,Iraq,"Richard B. Myers, Donald Rumsfeld, Saddam Hussein, Osama bin Laden",http://www.9-11commission.gov/report/911Report_Ch10.htm,,"<P>SOURCE: <EM>The 9/11 Commission Report: Final Report of the National Commission on Terrorist Attacks Upon the United States</EM>&nbsp;(Washington, D.C.: U.S. Government Printing Office, 2004),&nbsp; page 334.</P>",
5,2001-09-11,Questions Arise at National Security Council Meeting Over Who Might Have Harbored Attackers,"By late in the evening of September 11, the president had addressed the nation on the terrible events of the day. Vice President Cheney described the president's mood as somber. The long day was not yet over. When the larger meeting that included his domestic department heads broke up, President Bush chaired a smaller meeting of top advisers, a group he would later call his ""war council."" This group usually included Cheney, Secretary of State [Colin] Powell, Secretary of Defense Donald Rumsfeld, General Hugh Shelton, Vice Chairman of the Joint Chiefs (later to become chairman) General [Richard] Myers, DCI [Director of Central Intelligence] [George] Tenet, Attorney General [John] Ashcroft, and FBI Director Robert Mueller. From the White House staff, National Security Adviser Condoleezza Rice and Chief of Staff [Andrew] Card were part of the core group, often joined by their deputies, Stephen Hadley and Joshua Bolten. In this restricted National Security Council meeting, the president said it was a time for self-defense. The United States would punish not just the perpetrators of the attacks, but also those who harbored them. Secretary of State Powell said the United States had to make it clear to Pakistan, Afghanistan, and the Arab states that the time to act was now. He said we would need to build a coalition. The president noted that the attacks provided a great opportunity to engage Russia and China. Secretary Rumsfeld urged the president and the principals to think broadly about who might have harbored the attackers, including Iraq, Afghanistan, Libya, Sudan, and Iran. He wondered aloud how much evidence the United States would need in order to deal with these countries, pointing out that major strikes could take up to 60 days to assemble.",False,Iraq,"George W. Bush, Donald Rumsfeld, Condoleezza Rice, Colin Powell, Richard B. Myers, Richard B. Cheney, George Tenet",http://www.9-11commission.gov/report/911Report_Ch10.htm,,"<P>SOURCE: <EM>The 9/11 Commission Report: Final Report of the National Commission on Terrorist Attacks Upon the United States</EM> (Washington, D.C.: U.S. Government Printing Office, 2004), page 330.&nbsp;</P>",
6,2001-09-12,President Bush's Remarks After Meeting With National Security Team,"I have just completed a meeting with my national security team, and we have received the latest intelligence updates. The deliberate and deadly attacks which were carried out yesterday against our country were more than acts of terror. They were acts of war. This will require our country to unite in steadfast determination and resolve. Freedom and democracy are under attack.",False,,George W. Bush,http://georgewbush-whitehouse.archives.gov/news/releases/2001/09/20010912-4.html,,"SOURCE: Office of the White House Press Secretary, ""Remarks by the President in Photo Opportunity With the National Security Team,"" September 12, 2001.",
7,2001-09-12,Secretary of State Colin Powell's Remarks&nbsp;to the Press,"<P>Good afternoon, ladies and gentlemen. I thought what I would do is to update you on the activities of the last several hours since I spoke to the press this morning. Let me begin once again by saying that our hearts go out to all the victims and to their families. It is a tragedy, but as the president has made clear, it is a tragedy that we are strong enough to overcome. Our spirits will not be broken. The resilience of this society will not be broken. We will find out who is responsible for this and they will pay for it.</P>  <P>[text omitted]</P>  <P>And so we will hold accountable those countries that provide support, that give host nation, if you can call it that, support and facilities to these kinds of terrorist groups. </P>",False,,Colin Powell,http://www.state.gov/secretary/former/powell/remarks/2001/4880.htm,,"SOURCE: Colin Powell, on-the-record briefing, September 12, 2001.",
8,2001-09-12,"Richard Clarke, <EM>Against All Enemies</EM>:<EM> </EM>Richard Clarke Amazed That Discussions About Iraq Take Precedence After the 9/11 Attacks","[Early hours of the morning] I expected to go back to a round of meetings examining what the next attacks could be, what our vulnerabilities were, what we could do about them in the short term. Instead, I walked into a series of discussions about Iraq. At first I was incredulous that we were talking about something other than getting Al Qaeda. Then I realized with almost a sharp physical pain that [Donald] Rumsfeld and [Paul] Wolfowitz were going to try to take advantage of this national tragedy to promote their agenda about Iraq. Since the beginning of the administration, indeed well before, they had been pressing for a war with Iraq. My friends in the Pentagon had been telling me that the word was we would be invading Iraq sometime in 2002.",False,,"Richard Clarke, Paul Wolfowitz, Donald Rumsfeld",,,"SOURCE: Richard A. Clarke, <EM>Against All Enemies: Inside America's War on Terror</EM>&nbsp;(New York: Free Press, 2004), page 30.",
9,2001-09-12,"Richard Clarke, <EM>Against All Enemies</EM>:<EM> </EM>Defense Secretary Donald Rumsfeld on Getting Iraq","On the morning of the 12th DOD's [Department of Defense's] focus was already beginning to shift from Al Qaeda. CIA was explicit now that Al Qaeda was guilty of the attacks, but Paul Wolfowitz, Rumsfeld's deputy, was not persuaded. It was too sophisticated and complicated an operation, he said, for a terrorist group to have pulled off by itself, without a state sponsor—Iraq must have been helping them. By the afternoon on Wednesday [September 12], Secretary Rumsfeld was talking about broadening the objectives of our response and ""getting Iraq.""",False,,"Richard Clarke, Paul Wolfowitz, Donald Rumsfeld",,,"<P><SPAN id=grvSearch_ctl10_Label_Source>SOURCE: Richard A. Clarke, <EM>Against All Enemies: Inside America's War on Terror</EM>&nbsp;(New York: Free Press, 2004), page 30.</SPAN></P>",
10,2001-09-12,"Richard Clarke, <EM>Against All Enemies</EM>:<EM> </EM>Targeting Iraq and Changing the Government","<P>By the afternoon on Wednesday [September 12], Secretary [Donald] Rumsfeld was talking about broadening the objectives of our response and ""getting Iraq."" Secretary [Colin] Powell pushed back, urging a focus on Al Qaeda. Relieved to have some support, I thanked Colin Powell and his deputy, Rich Armitage. ""I thought I was missing something here,"" I vented. ""Having been attacked by Al Qaeda, for us now to go bombing Iraq in response would be like our invading Mexico after the Japanese attacked us at Pearl Harbor."" Powell shook his head. ""It's not over yet.""</P>  <P>[text omitted]</P>  <P>Indeed, it was not. Later in the day, Secretary Rumsfeld complained that there were no decent targets for bombing in Afghanistan and that we should consider bombing Iraq, which, he said, had better targets. At first I thought Rumsfeld was joking. But he was serious and the president did not reject out of hand the idea of attacking Iraq. Instead, he noted that what we needed to do with Iraq was to change the government, not just hit it with more cruise missiles, as Rumsfeld has implied.</P>",False,"Iraq, Al Qaeda","Richard Clarke, Colin Powell, Donald Rumsfeld",,,"<P><SPAN id=grvSearch_ctl10_Label_Source>SOURCE: Richard A. Clarke, <EM>Against All Enemies: Inside America's War on Terror</EM>&nbsp;(New York: Free Press, 2004), pages 30–31.</SPAN></P>",
11,2001-09-12,"Richard Clarke, <EM>Against All Enemies</EM>:<EM> </EM>President Bush Insists That Clarke Look Into a Connection Between Iraq and Al Qaeda","<P>Later, on the evening of the 12th, I left the video conferencing Center and there, wandering alone around the Situation Room, was the president. He looked like he wanted something to do. He grabbed a few of us and closed the door to the conference room. ""Look,"" he told us, ""I know you have a lot to do and all but I want you, as soon as you can, to go back over everything, everything. See if Saddam did this. See if he is linked in any way.""</P>  <P>[text omitted]</P>  <P>I was once again taken aback, incredulous, and it showed. ""But, Mr. President, Al Qaeda did this."" <BR><BR>""I know, I know, but see if Saddam was involved. Just look. I want to know any shred . . ."" <BR><BR>""Absolutely, we will look . . . again."" <BR><BR>I was trying to be more respectful, more responsive. ""But you know, we have looked several times for state sponsorship of Al Qaeda and not found any real linkages to Iraq. Iran plays a little, as does Pakistan, and Saudi Arabia, Yemen."" <BR><BR>""Look into Iraq, Saddam,"" the president said testily and left us.</P>",False,"Iraq, Al Qaeda","Richard Clarke, George W. Bush",,,"<P>SOURCE: Richard A. Clarke, <EM>Against All Enemies: Inside America's War on Terror</EM> (New York: Free Press, 2004), page 32.</P>",
12,2001-09-13,White House Press Briefing by Ari Fleischer,"Question: Ari, when the president spoke in the Oval Office he seemed to go beyond just terrorists and those who harbor terrorists to say those who encourage their actions. And I wonder, who did he—I wonder, what did he mean by that, and who—which of the world leaders was he trying to send a message to, or did he discuss that with? Because it seemed to go beyond what he's already said. <BR><BR>Mr. Fleischer: No, I think when the president talks about those who carried out this act and those who harbor them, obviously those who harbor them have encouraged them. So it's one in the same. <BR><BR>Question: If I could finish, how many world leaders has he spoken to since the beginning, and can we get a list of all those? <BR><BR>Mr. Fleischer: Well, I've been announcing them day by day. I'd have to go back and just pull it, but that's publicly available—you've got it all. I mentioned yesterday he spoke to President [Vladimir] Putin twice, President Jiang [Zemin], [Tony] Blair, [Jean] Chretien, I believe [Jacques] Chirac, [Gerhard] Schroeder. So you can do the math.",False,,Ari Fleischer,http://georgewbush-whitehouse.archives.gov/news/releases/2001/09/20010913-12.html,,"SOURCE: Office of the White House Press Secretary, press briefing by Ari Fleischer, September 13, 2001.",
13,2001-09-13,Defense Department News Briefing by Deputy Defense Secretary Paul Wolfowitz,"Question: Just to follow on that. In terms of where your attention was directed —or where the intelligence community's attention was directed before the events, it seemed to have been external. There was the alert in Jordan; there were alerts in various other places. Has there been any conclusion as to whether or not those in fact were sort of red herrings and that the United States was diverted to looking abroad when it should have been looking inside? <BR><BR>Wolfowitz: I think—I mean, this is really—I'm going to send this one over to George Tenet to answer. I think we are looking everywhere. And obviously, one of the things these guys have demonstrated is that as hard as we look, they can hide some things from us. And that's why we're going to try to deny them the sanctuaries and the places from which they do hide things.",False,,"Paul Wolfowitz, George Tenet",http://www.defenselink.mil/transcripts/transcript.aspx?transcriptid=1622,,"SOURCE: Paul Wolfowitz, news briefing, September 13, 2001.",
