date,event,source
2001-09-11,"On the morning of September 11, 2001, 19 Al Qaeda terrorists hijack four commercial passenger jet airliners. The hijackers crash two of the airliners into the World Trade Center in New York City, one plane into each tower, resulting in the collapse of both buildings. Another plane crashes into the Pentagon, and passengers and members of the flight crew on the fourth aircraft attempt to retake control of their plane from the hijackers; the plane crashes into a field near the town of Shanksville, Pennsylvania. These attacks left 2,974 dead.",Spreadsheet
2001-09-12,"Bush asks a group of national security advisers to “see if Saddam did this. See if he is linked in any way.” When told that all signs pointed to Al Qaeda, he pressed the issue of looking into Iraq.",Spreadsheet
2001-09-17,"In a memo to Donald Rumsfeld, deputy secretary Paul Wolfowitz argues that “that if there was even a 10 percent chance that Saddam Hussein was behind the 9/11 attack, maximum priority should be placed on eliminating that threat.”",Spreadsheet
2001-09-18,A memo sent to Condoleeza Rice from national security adviser Richard Clarke’s office disproved the idea that Iraq was affiliated with Al Qaeda or Osama Bin Laden.,Spreadsheet
2001-10-05,The first death by anthrax poisoning is reported in Florida. It was initially ruled out as a terrorist act.,Spreadsheet
2001-10-07,"The U.S. and British forces lead bombings in Afghanistan in an effort to assault Osama bin Laden and his allies. Osama in turn sends out a video praising the attacks on the U.S, although he does not explicitly take responsibility.",Spreadsheet
2001-10-14,"As Anthrax cases in Florida and New York have set the country on edge, Iraq is named as the “prime suspect” in the outbreak.",Spreadsheet
2001-11-15,"The British government announced that a video made last month reveals Osama bin Laden taking responsibility for 9/11. ""If avenging the killing of our people is terrorism, let history be a witness that we are terrorists,” he said.",Spreadsheet
2001-12-06,Nine leading members of Congress sign a letter urging President Bush to make the Iraqi regime the next major target in the war on terrorism.,Spreadsheet
2001-12-19,"President Bush and top advisers initially decide against an invasion in Iraq, because of “insufficient international backing for a war and uncertain prospects of military success.”",Spreadsheet
2002-01-01,"Donald Rumsfeld says in a press briefing that the Bush administration is “interested in a lot more than just Al Qaeda.” In his State of the Union address less than two weeks later, President Bush names Iraq, Iran and South Korea as members of a new “axis of evil.”",Spreadsheet
2002-02-04,President Bush announces in front of cheering troops that he has asked for a “one-year increase of more than $48 billion for national defense—the largest increase in a generation.”,Spreadsheet
2002-02-05,"The CIA announces that Iraq has not been a part of any terrorist activity against the United States in nine years, nor has the country been known to supply chemical or biological weapons to other terrorist networks.",Spreadsheet
2002-02-12,"President Bush ordered that the Pentagon, CIA and other agencies to come up with a plan to remove Sadaam Hussein from power.",Spreadsheet
2002-03-02,Sadaam Hussein invites British Prime Minister Tony Blair to send over weapon inspectors.,Spreadsheet
2002-05-01,"Newsweek publishes a piece that finds no evidence of Mohammed Atta, alleged leader of the hijackers, meeting with an Iraqi intelligence official in Prague. This eliminates what was once thought to be a key connection between the Iraqi government and Al Qaeda.",Spreadsheet
2002-06-06,"In an address to the nation, President Bush announces that The Department of Homeland Security will start developing “technologies that detect biological, chemical, and nuclear weapons, and to discover the drugs and treatments to best protect our citizens.” The idea is that “analysts will be responsible for imagining the worst, and planning to counter it.”",Spreadsheet
2002-06-16,"Congressional leaders from both parties come out in support of President Bush’s order for the CIA to create a comprehensive, secret mission to topple to Hussein regime.",Spreadsheet
2002-06-18,The commander of American troops in Afghanistan said he would need “at least one more year” to complete his mission.,Spreadsheet
2002-07-04,"Iraqi foreign minister, Naji Sabri, told Kofi Annan, U.N. secretary-general, that the country was not ready to let weapons inspectors in.",Spreadsheet
